Source,Target,Type,Id,Label,Weight,background_map_edge
118,201,Directed,0,,0.1804,
118,258,Directed,1,,0.1474,
118,182,Directed,2,,0.0332,
118,152,Directed,3,,0.0416,
118,162,Directed,4,,0.0676,
47,118,Directed,5,,0.1828,
118,144,Directed,6,,0.1231,
118,263,Directed,7,,0.1733,
118,301,Directed,8,,0.1366,
118,221,Directed,9,,0.0745,
118,321,Directed,10,,0.251,
118,203,Directed,11,,0.1788,
65,118,Directed,12,,0.18,
118,306,Directed,13,,0.1514,
118,297,Directed,14,,0.1305,
118,253,Directed,15,,0.172,
118,183,Directed,16,,0.1744,
118,307,Directed,17,,0.1508,
118,169,Directed,18,,0.164,
118,216,Directed,19,,0.0686,
118,212,Directed,20,,0.0769,
118,274,Directed,21,,0.1504,
92,118,Directed,22,,0.0611,
68,118,Directed,23,,0.1008,
91,118,Directed,24,,0.0532,
118,125,Directed,25,,0.0839,
118,189,Directed,26,,0.0379,
118,305,Directed,27,,0.1419,
118,202,Directed,28,,0.0688,
118,222,Directed,29,,0.0622,
80,118,Directed,30,,0.091,
118,273,Directed,31,,0.1001,
118,250,Directed,32,,0.1652,
118,126,Directed,33,,0.0085,
118,204,Directed,34,,0.06,
118,127,Directed,35,,0.0212,
118,186,Directed,36,,0.0471,
118,148,Directed,37,,0.0155,
118,129,Directed,38,,0.0704,
76,118,Directed,39,,0.0797,
78,118,Directed,40,,0.0298,
118,163,Directed,41,,0.0223,
70,118,Directed,42,,0.0289,
114,118,Directed,43,,0.0065,
77,118,Directed,44,,0.0195,
118,261,Directed,45,,0.0985,
248,261,Directed,46,,0.1093,
201,261,Directed,47,,0.1367,
150,261,Directed,48,,0.1396,
261,311,Directed,49,,0.109,
146,261,Directed,50,,0.14,
147,261,Directed,51,,0.1383,
258,261,Directed,52,,0.0765,
112,261,Directed,53,,0.1131,
261,313,Directed,54,,0.3292,
182,261,Directed,55,,0.0655,
67,261,Directed,56,,0.1162,
219,261,Directed,57,,0.0972,
261,299,Directed,58,,0.0907,
152,261,Directed,59,,0.1122,
261,293,Directed,60,,0.0291,
162,261,Directed,61,,0.1295,
47,261,Directed,62,,0.1894,
144,261,Directed,63,,0.1071,
261,263,Directed,64,,0.1026,
261,301,Directed,65,,0.0876,
177,261,Directed,66,,0.1152,
221,261,Directed,67,,0.0972,
261,310,Directed,68,,0.1079,
232,261,Directed,69,,0.0414,
261,321,Directed,70,,0.2098,
261,296,Directed,71,,0.0323,
123,261,Directed,72,,0.0973,
172,261,Directed,73,,0.0623,
261,292,Directed,74,,0.0442,
203,261,Directed,75,,0.1338,
65,261,Directed,76,,0.1779,
167,261,Directed,77,,0.0851,
261,306,Directed,78,,0.1047,
197,261,Directed,79,,0.1363,
261,297,Directed,80,,0.0329,
246,261,Directed,81,,0.1053,
253,261,Directed,82,,0.1064,
94,261,Directed,83,,0.1068,
183,261,Directed,84,,0.1369,
261,307,Directed,85,,0.0987,
261,276,Directed,86,,0.0487,
225,261,Directed,87,,0.0241,
169,261,Directed,88,,0.1319,
216,261,Directed,89,,0.0321,
261,284,Directed,90,,0.0815,
212,261,Directed,91,,0.1128,
261,274,Directed,92,,0.0712,
189,261,Directed,93,,0.0765,
133,261,Directed,94,,0.0806,
239,261,Directed,95,,0.0302,
202,261,Directed,96,,0.1097,
218,261,Directed,97,,0.0923,
128,261,Directed,98,,0.0844,
251,261,Directed,99,,0.1079,
254,261,Directed,100,,0.0255,
261,275,Directed,101,,0.0278,
198,261,Directed,102,,0.0455,
222,261,Directed,103,,0.072,
261,308,Directed,104,,0.0638,
261,273,Directed,105,,0.0809,
240,261,Directed,106,,0.0549,
213,261,Directed,107,,0.1213,
250,261,Directed,108,,0.0996,
261,286,Directed,109,,0.0553,
261,271,Directed,110,,0.0358,
261,281,Directed,111,,0.0495,
261,267,Directed,112,,0.0169,
242,261,Directed,113,,0.117,
261,309,Directed,114,,0.0645,
206,261,Directed,115,,0.0456,
81,261,Directed,116,,0.1239,
220,261,Directed,117,,0.0331,
261,290,Directed,118,,0.0363,
261,266,Directed,119,,0.0257,
226,261,Directed,120,,0.0271,
261,270,Directed,121,,0.0097,
142,261,Directed,122,,0.1219,
241,261,Directed,123,,0.0175,
261,278,Directed,124,,0.028,
261,279,Directed,125,,0.0229,
261,291,Directed,126,,0.0328,
247,261,Directed,127,,0.0128,
261,304,Directed,128,,0.0526,
184,261,Directed,129,,0.0738,
261,280,Directed,130,,0.0176,
153,261,Directed,131,,0.0892,
257,261,Directed,132,,0.0164,
261,269,Directed,133,,0.0127,
168,261,Directed,134,,0.0818,
118,255,Directed,135,,0.0815,
255,261,Directed,136,,0.0646,
248,255,Directed,137,,0.173,
201,255,Directed,138,,0.1969,
150,255,Directed,139,,0.086,
166,255,Directed,140,,0.1195,
255,311,Directed,141,,0.0779,
146,255,Directed,142,,0.0868,
109,255,Directed,143,,0.1078,
147,255,Directed,144,,0.0852,
255,258,Directed,145,,0.1405,
112,255,Directed,146,,0.0821,
255,313,Directed,147,,0.3924,
182,255,Directed,148,,0.0574,
67,255,Directed,149,,0.1163,
219,255,Directed,150,,0.1582,
255,299,Directed,151,,0.0523,
152,255,Directed,152,,0.0688,
255,293,Directed,153,,0.0657,
162,255,Directed,154,,0.0757,
47,255,Directed,155,,0.2336,
230,255,Directed,156,,0.0232,
179,255,Directed,157,,0.0624,
144,255,Directed,158,,0.156,
255,263,Directed,159,,0.167,
255,301,Directed,160,,0.0551,
174,255,Directed,161,,0.0659,
177,255,Directed,162,,0.0618,
221,255,Directed,163,,0.0357,
176,255,Directed,164,,0.0516,
255,310,Directed,165,,0.0756,
232,255,Directed,166,,0.0313,
131,255,Directed,167,,0.0753,
255,321,Directed,168,,0.1729,
255,296,Directed,169,,0.0672,
123,255,Directed,170,,0.0796,
217,255,Directed,171,,0.0263,
172,255,Directed,172,,0.0752,
255,292,Directed,173,,0.0458,
65,255,Directed,174,,0.2254,
167,255,Directed,175,,0.0588,
255,306,Directed,176,,0.0701,
255,297,Directed,177,,0.0816,
246,255,Directed,178,,0.1689,
119,255,Directed,179,,0.0992,
253,255,Directed,180,,0.1703,
94,255,Directed,181,,0.0906,
255,288,Directed,182,,0.0748,
161,255,Directed,183,,0.0598,
159,255,Directed,184,,0.0612,
255,307,Directed,185,,0.0692,
95,255,Directed,186,,0.0934,
255,276,Directed,187,,0.1132,
225,255,Directed,188,,0.0691,
216,255,Directed,189,,0.0633,
255,284,Directed,190,,0.0332,
212,255,Directed,191,,0.0521,
92,255,Directed,192,,0.0998,
91,255,Directed,193,,0.0968,
125,255,Directed,194,,0.1017,
255,256,Directed,195,,0.0118,
189,255,Directed,196,,0.0438,
133,255,Directed,197,,0.0936,
255,305,Directed,198,,0.0605,
239,255,Directed,199,,0.041,
202,255,Directed,200,,0.0517,
218,255,Directed,201,,0.0327,
255,260,Directed,202,,0.0234,
157,255,Directed,203,,0.0738,
237,255,Directed,204,,0.0165,
222,255,Directed,205,,0.0208,
255,322,Directed,206,,0.1767,
249,255,Directed,207,,0.0171,
255,273,Directed,208,,0.0219,
255,298,Directed,209,,0.046,
240,255,Directed,210,,0.0152,
255,287,Directed,211,,0.031,
255,283,Directed,212,,0.0453,
255,286,Directed,213,,0.0334,
255,271,Directed,214,,0.0315,
192,255,Directed,215,,0.042,
255,281,Directed,216,,0.0342,
255,300,Directed,217,,0.0564,
137,255,Directed,218,,0.0702,
255,267,Directed,219,,0.0493,
127,255,Directed,220,,0.076,
234,255,Directed,221,,0.0139,
223,255,Directed,222,,0.0196,
132,255,Directed,223,,0.0858,
255,295,Directed,224,,0.0394,
215,255,Directed,225,,0.0289,
255,272,Directed,226,,0.0163,
129,255,Directed,227,,0.0917,
255,265,Directed,228,,0.0111,
255,266,Directed,229,,0.0403,
255,289,Directed,230,,0.0334,
184,255,Directed,231,,0.1237,
118,248,Directed,232,,0.1733,
201,248,Directed,233,,0.0406,
248,311,Directed,234,,0.2091,
248,258,Directed,235,,0.0329,
182,248,Directed,236,,0.15,
67,248,Directed,237,,0.1655,
248,299,Directed,238,,0.1961,
152,248,Directed,239,,0.2042,
162,248,Directed,240,,0.227,
47,248,Directed,241,,0.1305,
144,248,Directed,242,,0.0731,
248,263,Directed,243,,0.0131,
248,301,Directed,244,,0.1914,
232,248,Directed,245,,0.1451,
172,248,Directed,246,,0.131,
248,292,Directed,247,,0.1482,
203,248,Directed,248,,0.0373,
65,248,Directed,249,,0.1133,
197,248,Directed,250,,0.041,
248,253,Directed,251,,0.0037,
248,316,Directed,252,,0.2303,
94,248,Directed,253,,0.1776,
183,248,Directed,254,,0.0483,
245,248,Directed,255,,0.0025,
169,248,Directed,256,,0.0536,
248,274,Directed,257,,0.0418,
248,250,Directed,258,,0.0097,
242,248,Directed,259,,0.0087,
214,248,Directed,260,,0.0308,
248,331,Directed,261,,0.5326,
244,248,Directed,262,,0.0048,
168,248,Directed,263,,0.08,
182,201,Directed,264,,0.1634,
144,201,Directed,265,,0.0609,
201,203,Directed,266,,0.0033,
197,201,Directed,267,,0.0011,
201,253,Directed,268,,0.0441,
183,201,Directed,269,,0.011,
178,201,Directed,270,,0.0171,
185,201,Directed,271,,0.0088,
201,236,Directed,272,,0.0278,
118,150,Directed,273,,0.073,
150,248,Directed,274,,0.236,
150,201,Directed,275,,0.2491,
150,311,Directed,276,,0.1456,
146,150,Directed,277,,0.0014,
150,258,Directed,278,,0.2065,
150,182,Directed,279,,0.0863,
67,150,Directed,280,,0.1069,
150,219,Directed,281,,0.2151,
150,299,Directed,282,,0.1227,
150,152,Directed,283,,0.0328,
150,162,Directed,284,,0.0104,
47,150,Directed,285,,0.2555,
144,150,Directed,286,,0.1945,
150,263,Directed,287,,0.2335,
150,301,Directed,288,,0.1289,
150,221,Directed,289,,0.0522,
150,321,Directed,290,,0.2158,
150,292,Directed,291,,0.1318,
150,306,Directed,292,,0.1371,
150,212,Directed,293,,0.0379,
92,150,Directed,294,,0.0264,
91,150,Directed,295,,0.0309,
150,202,Directed,296,,0.0349,
150,322,Directed,297,,0.2178,
150,324,Directed,298,,0.2193,
118,166,Directed,299,,0.089,
166,261,Directed,300,,0.077,
166,248,Directed,301,,0.0886,
166,201,Directed,302,,0.0914,
150,166,Directed,303,,0.1586,
166,311,Directed,304,,0.1832,
146,166,Directed,305,,0.1583,
147,166,Directed,306,,0.1567,
166,258,Directed,307,,0.0706,
112,166,Directed,308,,0.1121,
166,313,Directed,309,,0.3226,
166,182,Directed,310,,0.0746,
67,166,Directed,311,,0.077,
166,219,Directed,312,,0.0631,
166,299,Directed,313,,0.1618,
152,166,Directed,314,,0.1258,
166,293,Directed,315,,0.1055,
162,166,Directed,316,,0.151,
47,166,Directed,317,,0.115,
144,166,Directed,318,,0.0374,
166,263,Directed,319,,0.0919,
166,301,Directed,320,,0.1603,
166,177,Directed,321,,0.1399,
166,232,Directed,322,,0.0883,
166,296,Directed,323,,0.1085,
123,166,Directed,324,,0.0894,
166,172,Directed,325,,0.052,
166,292,Directed,326,,0.1196,
166,203,Directed,327,,0.0898,
65,166,Directed,328,,0.1059,
166,167,Directed,329,,0.0947,
166,197,Directed,330,,0.0905,
166,297,Directed,331,,0.1032,
166,246,Directed,332,,0.0847,
166,253,Directed,333,,0.0881,
94,166,Directed,334,,0.0917,
166,183,Directed,335,,0.0857,
166,276,Directed,336,,0.0766,
166,225,Directed,337,,0.056,
166,169,Directed,338,,0.0758,
166,216,Directed,339,,0.0572,
166,274,Directed,340,,0.0794,
133,166,Directed,341,,0.0481,
45,166,Directed,342,,0.0988,
128,166,Directed,343,,0.0596,
166,251,Directed,344,,0.0883,
166,198,Directed,345,,0.0431,
90,166,Directed,346,,0.0855,
166,213,Directed,347,,0.0808,
166,250,Directed,348,,0.0821,
130,166,Directed,349,,0.0749,
166,242,Directed,350,,0.0917,
75,166,Directed,351,,0.1021,
140,166,Directed,352,,0.0426,
82,166,Directed,353,,0.0551,
166,206,Directed,354,,0.0634,
148,166,Directed,355,,0.0779,
51,166,Directed,356,,0.0796,
81,166,Directed,357,,0.0472,
166,175,Directed,358,,0.0195,
50,166,Directed,359,,0.0828,
106,166,Directed,360,,0.05,
41,166,Directed,361,,0.0831,
142,166,Directed,362,,0.0564,
166,184,Directed,363,,0.0158,
153,166,Directed,364,,0.0137,
166,168,Directed,365,,0.0104,
118,311,Directed,366,,0.1594,
201,311,Directed,367,,0.2423,
182,311,Directed,368,,0.134,
67,311,Directed,369,,0.1939,
152,311,Directed,370,,0.1404,
162,311,Directed,371,,0.1369,
47,311,Directed,372,,0.2976,
263,311,Directed,373,,0.1993,
301,311,Directed,374,,0.0237,
221,311,Directed,375,,0.0966,
311,321,Directed,376,,0.1011,
292,311,Directed,377,,0.0647,
203,311,Directed,378,,0.2392,
306,311,Directed,379,,0.0086,
94,311,Directed,380,,0.1684,
311,322,Directed,381,,0.1057,
287,311,Directed,382,,0.0486,
311,324,Directed,383,,0.1021,
118,146,Directed,384,,0.0724,
146,311,Directed,385,,0.1468,
146,182,Directed,386,,0.0862,
67,146,Directed,387,,0.1061,
146,299,Directed,388,,0.1238,
146,152,Directed,389,,0.0325,
146,301,Directed,390,,0.13,
146,221,Directed,391,,0.0531,
146,232,Directed,392,,0.0987,
123,146,Directed,393,,0.0714,
146,172,Directed,394,,0.1071,
146,292,Directed,395,,0.1326,
146,306,Directed,396,,0.1383,
119,146,Directed,397,,0.0126,
94,146,Directed,398,,0.0745,
146,307,Directed,399,,0.1418,
146,212,Directed,400,,0.039,
92,146,Directed,401,,0.025,
91,146,Directed,402,,0.0296,
146,189,Directed,403,,0.0654,
146,202,Directed,404,,0.0358,
80,146,Directed,405,,0.0329,
146,168,Directed,406,,0.1686,
109,118,Directed,407,,0.0862,
109,261,Directed,408,,0.1605,
109,248,Directed,409,,0.2545,
109,201,Directed,410,,0.2655,
109,150,Directed,411,,0.0218,
109,166,Directed,412,,0.1744,
109,311,Directed,413,,0.1652,
109,146,Directed,414,,0.0211,
109,147,Directed,415,,0.0227,
109,258,Directed,416,,0.2256,
109,112,Directed,417,,0.0629,
109,182,Directed,418,,0.1045,
67,109,Directed,419,,0.1156,
109,219,Directed,420,,0.2328,
109,299,Directed,421,,0.1431,
109,152,Directed,422,,0.0503,
109,293,Directed,423,,0.1714,
109,162,Directed,424,,0.0321,
47,109,Directed,425,,0.2658,
109,230,Directed,426,,0.0851,
109,179,Directed,427,,0.0455,
109,144,Directed,428,,0.2092,
109,301,Directed,429,,0.1495,
109,174,Directed,430,,0.042,
109,177,Directed,431,,0.0464,
109,221,Directed,432,,0.0736,
109,176,Directed,433,,0.0765,
109,310,Directed,434,,0.1625,
109,232,Directed,435,,0.1193,
109,131,Directed,436,,0.056,
109,321,Directed,437,,0.23,
109,203,Directed,438,,0.2638,
109,167,Directed,439,,0.0819,
109,306,Directed,440,,0.1568,
94,109,Directed,441,,0.0863,
109,161,Directed,442,,0.0713,
109,159,Directed,443,,0.0647,
109,307,Directed,444,,0.1608,
95,109,Directed,445,,0.0398,
109,212,Directed,446,,0.0586,
92,109,Directed,447,,0.027,
91,109,Directed,448,,0.0348,
109,202,Directed,449,,0.0565,
80,109,Directed,450,,0.0128,
109,273,Directed,451,,0.1108,
118,147,Directed,452,,0.0711,
147,248,Directed,453,,0.2344,
147,201,Directed,454,,0.2472,
147,150,Directed,455,,0.002,
147,311,Directed,456,,0.1457,
146,147,Directed,457,,0.0017,
147,258,Directed,458,,0.2049,
147,182,Directed,459,,0.0845,
67,147,Directed,460,,0.105,
147,219,Directed,461,,0.2134,
147,299,Directed,462,,0.1226,
147,152,Directed,463,,0.031,
147,293,Directed,464,,0.1487,
47,147,Directed,465,,0.2535,
147,301,Directed,466,,0.1288,
147,177,Directed,467,,0.0237,
147,221,Directed,468,,0.0517,
147,310,Directed,469,,0.143,
147,232,Directed,470,,0.097,
147,321,Directed,471,,0.2166,
123,147,Directed,472,,0.07,
147,172,Directed,473,,0.1055,
147,292,Directed,474,,0.131,
147,167,Directed,475,,0.0625,
147,306,Directed,476,,0.1372,
94,147,Directed,477,,0.0733,
147,307,Directed,478,,0.1406,
147,284,Directed,479,,0.1047,
147,212,Directed,480,,0.0378,
92,147,Directed,481,,0.0251,
91,147,Directed,482,,0.0293,
125,147,Directed,483,,0.0171,
147,305,Directed,484,,0.134,
147,202,Directed,485,,0.0344,
147,218,Directed,486,,0.0528,
99,147,Directed,487,,0.0616,
147,322,Directed,488,,0.2187,
80,147,Directed,489,,0.0344,
143,147,Directed,490,,0.0055,
147,273,Directed,491,,0.0893,
96,147,Directed,492,,0.0255,
147,300,Directed,493,,0.1247,
147,153,Directed,494,,0.1684,
147,324,Directed,495,,0.2201,
201,258,Directed,496,,0.0662,
182,258,Directed,497,,0.1214,
152,258,Directed,498,,0.1754,
47,258,Directed,499,,0.1437,
144,258,Directed,500,,0.0702,
258,263,Directed,501,,0.0271,
203,258,Directed,502,,0.0629,
258,297,Directed,503,,0.0784,
253,258,Directed,504,,0.0299,
183,258,Directed,505,,0.0701,
169,258,Directed,506,,0.0701,
216,258,Directed,507,,0.0862,
258,274,Directed,508,,0.0137,
250,258,Directed,509,,0.0232,
258,264,Directed,510,,0.0151,
112,118,Directed,511,,0.0233,
112,248,Directed,512,,0.1952,
112,201,Directed,513,,0.2035,
112,150,Directed,514,,0.051,
112,311,Directed,515,,0.1577,
112,146,Directed,516,,0.0502,
112,147,Directed,517,,0.049,
112,258,Directed,518,,0.1684,
112,182,Directed,519,,0.0487,
67,112,Directed,520,,0.0563,
112,219,Directed,521,,0.1723,
112,299,Directed,522,,0.1321,
112,152,Directed,523,,0.0229,
112,293,Directed,524,,0.1319,
112,162,Directed,525,,0.047,
47,112,Directed,526,,0.2046,
112,144,Directed,527,,0.1464,
112,263,Directed,528,,0.1947,
112,301,Directed,529,,0.1362,
112,177,Directed,530,,0.0434,
112,221,Directed,531,,0.0649,
112,310,Directed,532,,0.1552,
112,232,Directed,533,,0.0764,
112,296,Directed,534,,0.1346,
112,123,Directed,535,,0.0228,
112,172,Directed,536,,0.0643,
112,292,Directed,537,,0.122,
112,203,Directed,538,,0.2019,
65,112,Directed,539,,0.2025,
112,167,Directed,540,,0.0282,
112,306,Directed,541,,0.1493,
112,253,Directed,542,,0.1938,
94,112,Directed,543,,0.0242,
112,307,Directed,544,,0.15,
112,212,Directed,545,,0.0626,
92,112,Directed,546,,0.0379,
91,112,Directed,547,,0.0302,
112,125,Directed,548,,0.0609,
112,189,Directed,549,,0.0405,
112,305,Directed,550,,0.1417,
112,202,Directed,551,,0.0545,
99,112,Directed,552,,0.0128,
112,157,Directed,553,,0.0387,
90,112,Directed,554,,0.0317,
112,126,Directed,555,,0.0159,
112,136,Directed,556,,0.0503,
112,137,Directed,557,,0.0151,
71,112,Directed,558,,0.0326,
100,112,Directed,559,,0.0083,
84,112,Directed,560,,0.0131,
70,112,Directed,561,,0.0267,
118,313,Directed,562,,0.4076,
248,313,Directed,563,,0.2347,
201,313,Directed,564,,0.2389,
258,313,Directed,565,,0.2609,
182,313,Directed,566,,0.3823,
67,313,Directed,567,,0.3992,
219,313,Directed,568,,0.2595,
47,313,Directed,569,,0.3086,
263,313,Directed,570,,0.2344,
246,313,Directed,571,,0.2387,
313,316,Directed,572,,0.0086,
312,313,Directed,573,,0.0096,
313,329,Directed,574,,0.3011,
313,318,Directed,575,,0.0179,
313,319,Directed,576,,0.0212,
313,314,Directed,577,,0.0045,
313,331,Directed,578,,0.3468,
313,317,Directed,579,,0.0071,
313,326,Directed,580,,0.0736,
313,315,Directed,581,,0.0072,
182,301,Directed,582,,0.1105,
182,216,Directed,583,,0.0373,
182,274,Directed,584,,0.1225,
92,182,Directed,585,,0.0837,
182,222,Directed,586,,0.0429,
106,182,Directed,587,,0.0465,
160,182,Directed,588,,0.0122,
182,196,Directed,589,,0.0133,
67,118,Directed,590,,0.0388,
67,201,Directed,591,,0.1639,
67,258,Directed,592,,0.1454,
67,182,Directed,593,,0.0604,
67,152,Directed,594,,0.0783,
67,162,Directed,595,,0.1033,
47,67,Directed,596,,0.1502,
67,144,Directed,597,,0.1033,
67,263,Directed,598,,0.1685,
67,301,Directed,599,,0.1705,
67,292,Directed,600,,0.1431,
67,203,Directed,601,,0.163,
65,67,Directed,602,,0.1498,
67,197,Directed,603,,0.1629,
67,246,Directed,604,,0.1617,
67,253,Directed,605,,0.1651,
67,183,Directed,606,,0.1562,
67,307,Directed,607,,0.1847,
67,274,Directed,608,,0.1518,
67,189,Directed,609,,0.0745,
67,133,Directed,610,,0.0368,
67,76,Directed,611,,0.0508,
67,78,Directed,612,,0.01,
43,67,Directed,613,,0.0364,
118,219,Directed,614,,0.1498,
219,248,Directed,615,,0.0263,
201,219,Directed,616,,0.0395,
219,258,Directed,617,,0.0299,
182,219,Directed,618,,0.1288,
67,219,Directed,619,,0.1399,
219,299,Directed,620,,0.1873,
152,219,Directed,621,,0.1828,
162,219,Directed,622,,0.2065,
47,219,Directed,623,,0.1144,
144,219,Directed,624,,0.0477,
219,263,Directed,625,,0.0336,
219,301,Directed,626,,0.1834,
219,232,Directed,627,,0.1286,
123,219,Directed,628,,0.1499,
172,219,Directed,629,,0.1085,
203,219,Directed,630,,0.0366,
65,219,Directed,631,,0.0984,
197,219,Directed,632,,0.0392,
219,297,Directed,633,,0.1056,
219,246,Directed,634,,0.023,
219,253,Directed,635,,0.0268,
94,219,Directed,636,,0.1535,
183,219,Directed,637,,0.0412,
169,219,Directed,638,,0.0402,
219,274,Directed,639,,0.0436,
133,219,Directed,640,,0.1101,
219,250,Directed,641,,0.0227,
118,299,Directed,642,,0.1337,
201,299,Directed,643,,0.2268,
299,311,Directed,644,,0.0257,
258,299,Directed,645,,0.1635,
182,299,Directed,646,,0.1088,
67,299,Directed,647,,0.1685,
152,299,Directed,648,,0.1153,
162,299,Directed,649,,0.1136,
144,299,Directed,650,,0.1958,
299,301,Directed,651,,0.0076,
221,299,Directed,652,,0.0722,
232,299,Directed,653,,0.0771,
299,321,Directed,654,,0.1232,
123,299,Directed,655,,0.1317,
292,299,Directed,656,,0.048,
299,306,Directed,657,,0.0178,
94,299,Directed,658,,0.1427,
299,307,Directed,659,,0.0182,
92,299,Directed,660,,0.1427,
125,299,Directed,661,,0.1366,
299,305,Directed,662,,0.0118,
299,322,Directed,663,,0.1274,
273,299,Directed,664,,0.0353,
287,299,Directed,665,,0.0244,
286,299,Directed,666,,0.0357,
152,201,Directed,667,,0.2163,
152,182,Directed,668,,0.0542,
47,152,Directed,669,,0.2244,
152,263,Directed,670,,0.2023,
152,301,Directed,671,,0.1202,
152,221,Directed,672,,0.0447,
152,297,Directed,673,,0.14,
152,183,Directed,674,,0.2114,
152,307,Directed,675,,0.1335,
92,152,Directed,676,,0.0326,
91,152,Directed,677,,0.0283,
125,152,Directed,678,,0.0463,
152,189,Directed,679,,0.0357,
152,305,Directed,680,,0.1257,
152,202,Directed,681,,0.0321,
152,222,Directed,682,,0.0486,
80,152,Directed,683,,0.0588,
126,152,Directed,684,,0.0331,
127,152,Directed,685,,0.021,
152,215,Directed,686,,0.04,
129,152,Directed,687,,0.0327,
152,156,Directed,688,,0.0277,
118,293,Directed,689,,0.1207,
248,293,Directed,690,,0.1233,
201,293,Directed,691,,0.1558,
293,311,Directed,692,,0.0865,
146,293,Directed,693,,0.1503,
258,293,Directed,694,,0.0911,
182,293,Directed,695,,0.0876,
67,293,Directed,696,,0.1428,
219,293,Directed,697,,0.1165,
293,299,Directed,698,,0.073,
152,293,Directed,699,,0.1265,
162,293,Directed,700,,0.1393,
47,293,Directed,701,,0.216,
144,293,Directed,702,,0.1335,
263,293,Directed,703,,0.1143,
293,301,Directed,704,,0.0681,
293,296,Directed,705,,0.0032,
172,293,Directed,706,,0.0891,
292,293,Directed,707,,0.0259,
203,293,Directed,708,,0.1527,
65,293,Directed,709,,0.2037,
167,293,Directed,710,,0.1038,
293,306,Directed,711,,0.0838,
293,297,Directed,712,,0.0165,
246,293,Directed,713,,0.1198,
253,293,Directed,714,,0.12,
183,293,Directed,715,,0.1575,
293,307,Directed,716,,0.0766,
225,293,Directed,717,,0.053,
